Vehicle Name,Year of Model,Brand Name,Engine,Kms Driven,Variant,Transmission Type,Number of Photos Uploaded,Total Views,Price of the Car
2018 Maruti Celerio X,2018,Maruti,AMT ZXI,"18,124",Petrol,Automatic, 13,1925,"5,15,000"
2015 Hyundai Grand I10,2015,Hyundai,Asta Option,"29,667",Petrol,Manual, 13,1443,"4,86,000"
2019 Maruti Vitara Brezza,2019,Maruti,ZDi AMT,"89,503",Diesel,Automatic, 15,1505,"8,89,500"
2019 Hyundai Santro,2019,Hyundai,Sportz AMT BSIV,"24,298",Petrol,Automatic, 13,2785,"5,30,000"
2020 Honda Amaze,2020,Honda,VX Petrol,"12,887",Petrol,Manual, 13,1516,"8,10,000"
2017 Maruti Celerio,2017,Maruti,ZXI AT,"30,128",Petrol,Automatic, 13,1889,"4,85,000"
2013 Maruti Ritz,2013,Maruti,VDi,"70,082",Diesel,Manual, 13,1111,"3,55,000"
2021 Renault Kwid,2021,Renault,1.0 RXT AMT Opt,"2,287",Petrol,Automatic, 13,1970,"5,05,000"
2018 Hyundai I20,2018,Hyundai,1.2 Asta Option,"31,931",Petrol,Manual, 13,1726,"7,00,000"
2020 Maruti Wagon R,2020,Maruti,LXI BS IV,"11,367",Petrol,Manual, 13,1411,"5,33,500"
2017 Maruti Ciaz,2017,Maruti,1.4 Delta,"47,949",Petrol,Manual, 11,2036,"6,30,000"
2015 Volkswagen Polo,2015,Volkswagen,GT TSI,"35,986",Petrol,Automatic, 13,4620,"5,70,000"
2016 Maruti Alto K10,2016,Maruti,VXI,"61,562",Petrol,Manual, 14,2557,"2,85,000"
2016 Maruti Alto 800,2016,Maruti,LXI,"65,107",Petrol,Manual, 7,342,"2,63,000"
2018 Maruti Ciaz,2018,Maruti,Zeta Diesel,"75,199",Diesel,Manual, 30,2772,"6,55,000"
2017 Ford Ecosport,2017,Ford,1.5 Diesel Trend,"59,404",Diesel,Manual, 14,2733,"6,01,000"
2016 Ford Ecosport,2016,Ford,1.5 Ti VCT MT Titanium BSIV,"57,729",Petrol,Manual, 15,2749,"5,80,000"
2020 Maruti S-presso,2020,Maruti,VXI,"18,713",Petrol,Manual, 29,8828,"4,25,000"
2016 Maruti Celerio,2016,Maruti,VXI,"33,409",Petrol,Manual, 15,395,"3,89,000"
2019 Hyundai Venue,2019,Hyundai,S Turbo,"18,490",Petrol,Manual, 16,3165,"8,50,000"
2018 Maruti Vitara Brezza,2018,Maruti,VDi Option,"82,299",Diesel,Manual, 13,4371,"6,23,000"
2016 Maruti Alto K10,2016,Maruti,VXI AMT,"11,507",Petrol,Automatic, 15,904,"3,42,000"
2018 Toyota Yaris,2018,Toyota,G CVT BSIV,"34,118",Petrol,Automatic, 13,862,"9,18,000"
2017 Maruti Swift Dzire,2017,Maruti,ZXI,"47,576",Petrol,Manual, 13,775,"5,97,500"
2019 Renault Triber,2019,Renault,RXT BSIV,"24,332",Petrol,Manual, 13,1153,"5,45,500"
2015 Maruti Ritz,2015,Maruti,VXi,"8,566",Petrol,Manual, 14,5432,"3,55,000"
2017 Maruti Ignis,2017,Maruti,1.2 Zeta BSIV,"69,657",Petrol,Manual, 18,186,"4,36,000"
2015 Maruti Alto K10,2015,Maruti,VXI,"4,960",Petrol,Manual, 13,2473,"3,05,000"
2011 Hyundai I20,2011,Hyundai,1.2 Magna,"69,744",Petrol,Manual, 26,3186,"2,80,000"
2020 Maruti Wagon R,2020,Maruti,LXI BS IV,"11,367",Petrol,Manual, 13,1411,"5,33,500"
2017 Maruti Ciaz,2017,Maruti,1.4 Delta,"47,949",Petrol,Manual, 11,2036,"6,30,000"
